wbic,elevation,area,elevation_ned,depth_ned,longitude,latitude,perimeter
1137000,483.0382,908.24,487.9854,4.9472,-89.64197,45.74865,108.814
1137100,483.7714,16533.33,488.2855,4.5141,-89.65415,45.75787,510.23
1137300,484.7948,602.83,484.7948,0,-89.6617,45.75018,88.65
1137400,483.1739,1233.43,484.6927,1.5188,-89.66214,45.74945,135.364
1137500,481.3653,3702.36,481.6238,0.2585,-89.65705,45.74119,229.334
1137600,480.4184,21592.42,481.4218,1.0034,-89.65864,45.74007,602.219
1137700,480.2719,18221.59,487.2856,7.0137,-89.63309,45.73869,585.199
1137800,479.1739,3109.17,484.8412,5.6673,-89.64542,45.7358,218.845
1137900,483.5218,27024.7,489.6673,6.1455,-89.61266,45.74155,638.082
1138000,483.9903,2037.96,487.888,3.8977,-89.61903,45.74208,163.666
1138100,486.3248,8678.93,487.9875,1.6627,-89.62395,45.73474,355.471
1138200,495.9225,1285.11,496.5428,0.6203,-89.59562,45.74631,132.227
1138300,483.2824,3563.19,492.7553,9.4729,-89.59429,45.73525,227.447
1138400,480.8205,60770.65,481.53,0.7095,-89.5725,45.74525,1059.559
1138500,483.2369,3567,486.939,3.7021,-89.57953,45.73566,277.742
1138600,481.79,3551.34,486.939,5.149,-89.58012,45.73319,278.114
1138700,489.3189,36519.64,489.5706,0.2517,-89.48789,45.8115,751.569
1138800,489.3287,83696.19,489.8296,0.5009,-89.48403,45.80837,1330.161
1138900,490.5454,4885.57,490.8907,0.3453,-89.48621,45.80537,279.425
