wbic,depth,wtemp,o2sat,do
1843700,4,15.8,26,2.61
1843700,5,11.3,7.1,0.78
1843700,6,8.7,2.6,0.31
1843700,7,6.9,1.9,0.23
1843700,8,6.5,1.7,0.23
1846900,0.1,19.2,82.5,7.84
1846900,2,19.1,80.3,7.4
1846900,4,18.9,80.8,7.41
1846900,5,18.7,78.4,7.17
1846900,6,18.4,68,6.03
1846900,7,16.7,3.8,0.35
1846900,,,,
1846900,,,,
1846900,,,,
1846900,,,,
1846900,,,,
1846900,,,,
1846900,,,,
1857300,0.1,24,82.4,6.81
1857300,0.5,23.4,73.2,6.26
1857300,1,22.1,68.9,6.01
1857300,2,16.4,3.5,0.36
1857300,3,12.6,3.3,0.35
1859800,0.1,22.3,87.5,7.51
1859800,1,20.7,86.9,7.82
1859800,2,19,81.4,7.66
1859800,3,17.4,65.4,6.41
1859800,4,12.3,4,0.43
1859800,5,10,2.8,0.32
1861500,0.1,16.7,97.2,9.14
1861500,1,16.7,98.9,9.23
1861500,2,15.9,96.5,9.62
1861500,3,13.9,99.3,10.21
1861500,4,11.5,76.9,8.26
1861500,5,10.5,26.6,2.93
1867700,0.1,18.3,71.2,6.6
1867700,1,18.4,68.7,6.44
1867700,2,18.5,68.7,6.42
1867700,3,18.4,69.2,6.5
1871700,0.1,26.3,102.3,8.12
1871700,1,22.5,93.7,8.01
1871700,2,18.9,86.8,7.92
1871700,3,15.8,22.9,2.3
1871700,4,12.9,3.8,0.43
1871700,5,11.3,2.2,0.24
1871700,6,10,2.1,0.24
1872000,0.1,24.1,87.8,7.3
1872000,1,24,83.2,6.99
1872000,2,23.2,80.5,6.66
1872000,3,22.8,73.4,6.33
1875400,0.1,22,80.2,7.03
1875400,0.5,21.3,73.2,6.52
1875400,1,19.5,3.4,0.3
1875400,1.5,14.3,2.3,0.24
1879100,0.1,24.8,90.6,7.5
1879100,1,24.3,89.1,7.48
1879100,2,24.1,84.7,7.44
1879100,3,23.6,82.3,6.83
1879100,4,23.2,84.1,7.23
1879100,5,19.2,67.2,6.21
1880700,0.1,17.9,78.4,7.6
1880700,1,17.9,79.5,7.45
1880700,2,17.8,76.5,7.41
1885100,0.1,19,83.4,7.65
1885100,1,19,82.7,7.83
1885100,2,19,80.3,7.48
1885100,3,18,74.5,7.05
1885100,4,12.8,62.4,6.5
1885100,5,9.9,10,1.3
1885100,6,8.4,2.8,0.34
1885100,7,7.6,1.7,0.21
1885500,0.1,16.6,70.2,6.81
1885500,1,16.3,66.5,6.42
1886100,0.1,19.1,88.1,8.11
1886100,1,19.2,86.6,7.84
1886100,2,19.3,84.6,7.71
1886100,3,19.3,82.2,7.48
1886100,4,19.2,84,7.71
1886100,5,17,86.4,8.27
1886100,6,13.1,92.8,9.83
1886100,7,11,61.3,6.89
1886100,8,9.7,6.5,1
2000000,0.1,23.6,97.6,8.2
2000000,0.5,23,97,8.3
2000000,1,19.9,6.2,0.56
2002700,0.1,16.8,59.7,5.81
2012300,0.1,17.1,66.6,6.44
2012300,0.5,16.6,63.1,6.13
2012300,1,16,59,5.79
2012300,2,12.6,2.9,0.33
2012300,3,8.7,2.1,0.25
2012300,4,7.1,1.9,0.24
2012300,5,6.2,2,0.25
2012700,0.1,19.4,82.3,7.55
2012700,0.5,18.8,76.9,7.17
2012700,1,17.3,63.3,6.08
2012700,2,16.8,52.1,5.05
2015100,0.1,13.5,85.1,8.79
2015100,0.5,13.5,85.6,8.78
2015100,1,13.4,84.5,8.7
2015100,1.5,13.3,82.4,8.57
2015100,2,13.3,83.9,8.63
2015100,2.5,13.3,83.6,8.68
2015100,3,13.3,82.5,8.54
2017300,0.1,17.2,72.3,7.01
2017300,0.25,15.2,62.4,6.02
2017300,0.5,14.2,44.3,4.5
