lake,sampledate,depth,rep,dic,doc,tic,toc,alk,ph,color440,color280,color253,cond,secchi,totpuf,totnuf,drsi,ca,k,mg,na,fe,cl,so4
"Big",2000-07-05,1,1,15.90,6.13,16.16,5.89,,,,,,,,10,429,,,,,,,,
"Big Crooked",1998-08-07,11,1,,,,,,6.410,,,,,,47,713,2455,7.24,0.65,1.46,0.79,11.26,,
"Big Crooked",1998-08-25,1,1,,,,,,7.550,,,,39,3.30,9,253,560,4.56,0.39,1.08,0.81,0.14,,
"Big Crooked",1998-08-25,11,1,,,,,,,,,,,,9,274,560,4.50,0.38,1.07,0.80,0.15,,
"Big Gibson",1998-05-28,3,1,,,,,,7.320,,,,,,15,546,511,2.87,0.36,0.81,0.58,0.05,,
"Big Gibson",1998-08-10,3,1,,,,,,6.860,,,,,,14,347,676,3.04,0.38,0.96,0.60,0.17,,
"Big Gibson",1998-08-30,1,1,,,,,,7.350,,,,26,,11,313,692,3.04,0.36,8.66,0.64,0.17,,
"Big Gibson",1998-08-30,2,1,,,,,,7.360,,,,,2.24,12,338,698,3.10,0.38,0.87,0.66,0.15,,
"Big Muskellunge",1998-06-17,18,1,,,,,,6.710,,,,,,16,536,216,,,,,0.00,,
"Big Muskellunge",1998-07-12,0,1,5.12,3.88,5.36,3.99,,7.860,,,,,,1,277,125,,,,,0.09,,
"Big Muskellunge",1998-08-10,0,1,5.14,3.99,5.18,3.94,392.00,8.200,0.017,0.254,0.380,50,,6,289,176,5.54,0.43,0.17,0.93,0.22,,
"Big Muskellunge",1998-08-10,19,1,,,,,,6.530,,,,,,13,496,345,6.68,0.47,1.86,0.96,,,
"Boulder",1998-07-29,4,1,,,,,,7.560,,,,,,26,365,4991,10.21,0.49,2.91,1.52,0.63,,
"Boulder",1998-08-24,1,1,,,,,,8.000,,,,87,1.10,28,294,5498,10.82,0.49,2.93,1.60,0.28,,
"Brandy",1998-08-04,1,1,,,,,,8.850,,,,169,3.50,11,403,3955,14.53,0.69,3.98,11.93,0.06,,
"Brandy",1998-08-04,10,1,,,,,,6.880,,,,,,109,1135,8978,15.43,0.89,3.89,10.37,6.98,,
"Crampton",1998-06-10,0,1,0.47,,,,,,,,,,5.25,9,358,,,,,,,,
"Crampton",1998-06-10,10,1,,,,,,,,,,,,22,531,,,,,,,,
"Crampton",1998-07-01,,1,,,,,12.60,,,,,,,,,,,,,,,,
"Crampton",1998-07-14,10,1,,,,,,,,,,,,50,917,,,,,,,,
"Crampton",1998-08-19,10,1,,,,,,,,,,,,53,956,,,,,,,,
"Crampton",1999-05-15,0,1,,3.49,,,,6.250,0.044,,,,,,,,,,,,,,
"Crampton",1999-06-15,0,1,,3.93,,,12.60,6.140,0.046,,,,,,,,,,,,,,
"Crampton",1999-08-15,0,1,,4.26,,,,6.040,0.039,0.591,0.833,,,,,,,,,,,,
"Crampton",1999-08-15,0,2,,3.84,,,,6.060,0.034,,,,,,,,,,,,,,
"Crystal",1998-06-14,19,1,,,,,,5.780,,,,,,3,203,49,,,,,0.00,,
"Crystal",1998-07-14,0,1,0.61,2.12,0.64,2.16,,6.700,,,,,,3,142,18,,,,,0.04,,
"Crystal",1998-08-11,0,1,0.45,2.11,0.51,2.22,19.00,6.730,0.009,0.116,0.169,12,,2,141,9,1.06,0.37,0.25,0.36,0.00,,
"Crystal",1998-08-11,19,1,,,,,,5.620,,,,,,6,151,88,1.27,0.39,0.26,0.36,0.14,,
"Diamond",1998-06-02,9,1,,,,,,5.980,,,,,,25,72,50,1.16,0.38,0.31,0.36,0.00,,
"Diamond",1998-07-29,1,1,,,,,,6.810,,,,14,,30,224,39,1.15,0.39,0.32,0.37,0.00,,
"Diamond",1998-07-30,9,1,,,,,,6.030,,,,,6.00,29,143,22,1.20,0.33,0.32,0.36,0.00,,
"Diamond",1998-08-21,1,1,,,,,,6.350,,,,14,5.00,2,0,27,1.09,0.39,0.30,0.37,0.09,,
"Flora",1998-07-22,1,1,1.03,8.24,1.24,8.31,51.65,6.420,0.110,1.653,2.328,17,2.80,8,240,44,1.55,0.40,0.57,0.41,0.05,,
"Flora",1998-07-22,7,1,,,,,,5.900,,,,,,26,538,775,1.96,0.50,0.60,0.43,0.82,,
"Flora",1998-08-25,7,1,,,,,,5.780,,,,,,20,464,365,2.42,0.53,0.60,0.45,1.04,,
"Heart",1999-08-11,1,1,2.12,,2.02,10.60,,,0.204,2.446,3.260,22,2.00,17,831,28,2.18,0.61,0.73,1.00,,0.31,1.75
"Ike Walton",1998-05-29,8,1,,,,,,5.790,0.128,0.917,1.205,,,18,689,264,1.10,0.31,0.36,0.32,0.29,,
"Ike Walton",1998-08-06,1,1,,,,,,6.020,,,,14,2.25,18,387,44,1.30,0.32,0.40,0.34,0.06,,
"Ike Walton",1998-08-06,8,1,,,,,,6.140,,,,,,19,983,269,1.61,0.36,0.43,0.34,2.04,,
"Island",1998-06-01,9,1,,,,,,7.080,,,,,,44,359,6783,11.96,0.75,2.89,1.53,1.60,,
"Island",1998-08-02,1,1,,,,,,8.360,,,,91,2.50,21,359,4412,11.73,0.62,3.08,1.63,0.03,,
"Island",1998-08-02,9,1,,,,,,6.990,,,,,,99,711,7280,13.41,0.72,3.18,1.65,4.17,,
"Island",1998-08-25,9,1,,,,,,6.910,,,,,,119,939,8641,14.67,0.90,3.24,1.68,7.38,,
"Johnson",1998-09-06,1,1,,,,,,,,,,,,3,248,3477,13.50,0.77,3.80,12.15,0.00,,
"Johnson",1999-06-11,1,1,,,,,,8.047,0.032,0.444,0.625,,2.40,17,625,2196,,,,,,,
"Johnson",1999-06-11,1,2,,,,,,8.121,,,,,,,,,,,,,,,
"Johnson",1999-06-11,"NEAR BOTTOM",2,,,,,,6.855,,,,,,,,,,,,,,,
"Johnson",1999-07-09,1,1,,,,,864.01,8.290,,,,157,3.40,12,309,2196,13.69,0.76,3.78,10.95,,,
"Johnson",1999-08-24,1,1,10.25,4.44,10.59,4.59,,8.668,,,,164,2.70,12,218,2491,,,,,,21.76,3.38
"Johnson",1999-08-24,10,1,,,,,,6.800,,,,207,,56,1471,7910,,,,,,,
"Katherine",1999-06-14,1,1,,,,,,7.500,0.019,0.306,0.438,,,8,378,88,,,,,,,
"Katherine",1999-06-14,1,2,,,,,,7.680,,,,34,,,,,,,,,,,
"Katherine",1999-06-14,"NEAR BOTTOM",1,,,,,,7.360,,,,42,6.00,18,323,80,,,,,,,
"Katherine",1999-06-14,"NEAR BOTTOM",2,,,,,,7.270,,,,,,,,,,,,,,,
"Katherine",1999-07-16,"NEAR BOTTOM",1,,,,,,6.590,,,,,,15,566,268,5.35,0.43,1.56,1.60,,,
"Katherine",1999-08-25,1,1,4.21,3.92,4.44,,,7.686,,,,41,,6,623,193,,,,,,1.70,1.59
"Katherine",1999-08-25,8,1,,,,,,6.863,,,,41,,9,452,286,,,,,,,
"Kathleen",1999-08-11,1,1,1.44,,3.07,,,,0.099,0.963,1.296,13,2.10,29,901,65,1.12,0.53,0.40,1.72,,0.28,1.35
"Kathleen",1999-08-11,"NEAR BOTTOM",1,,,,,,,,,,,,27,737,560,1.91,0.60,0.44,1.77,,,
"Katinka",1999-06-14,1,2,,,,,,6.840,,,,,,,,,,,,,,,
"Katinka",1999-06-14,"NEAR BOTTOM",1,,,,,,6.070,,,,,,10,245,89,,,,,,,
"Katinka",1999-06-14,"NEAR BOTTOM",2,,,,,,6.020,,,,,,,,,,,,,,,
"Katinka",1999-07-19,"NEAR BOTTOM",1,,,,,,5.860,,,,,,25,678,193,1.76,0.66,0.53,0.42,,,
"Katinka",1999-08-26,14,1,,,,,,5.850,,,,13,,11,183,168,,,,,,,
"Lehto",1999-08-26,1,1,,,,,,7.520,,,,58,1.60,27,1134,4659,,,,,,,
"Lehto",1999-08-26,2,1,,,,,,6.900,,,,58,,21,589,4757,,,,,,,
"Little Crooked",1999-06-10,"NEAR BOTTOM",1,,,,,,7.148,,,,,,25,689,7155,,,,,,,
"Little Crooked",1999-07-06,1,1,,,,,984.78,8.105,,,,121,2.90,18,277,5644,16.58,0.71,4.08,1.63,,,
"Little Crooked",1999-07-06,"NEAR BOTTOM",1,,,,,,7.060,,,,,,30,423,7286,17.66,0.90,4.22,1.70,,,
"Little Crooked",1999-08-20,5,1,,,,,,7.366,,,,112,,20,689,7746,,,,,,,
"Little Crooked",2000-07-05,1,1,14.73,4.51,14.37,4.81,,,,,,,,21,519,,,,,,,,
"Little Spider",1998-06-08,1,1,10.37,4.10,11.16,4.17,776.47,7.810,0.026,0.343,0.484,,3.30,14,219,1545,12.71,0.68,3.85,5.08,0.13,11.99,3.24
"Little Spider",1998-06-08,6,1,,,,,,7.250,,,,,,53,235,4522,14.91,0.85,4.20,4.91,1.02,,
"Little Spider",1998-08-04,1,1,,,,,,8.840,,,,126,2.75,11,371,1906,12.41,0.68,3.83,5.21,0.08,,
"Little Spider",1998-08-04,4,1,,,,,,7.710,,,,,,12,276,2411,12.61,0.68,3.84,5.14,0.21,,
"Little Spider",1998-09-01,4,1,,,,,,7.400,,,,,,17,375,2916,4.59,0.75,3.94,5.53,0.22,,
"Little Sugarbush",1998-07-07,1,1,7.69,5.30,7.84,5.20,536.43,7.880,0.050,0.637,0.938,58,4.00,8,338,1379,7.04,0.58,2.26,1.17,0.08,0.32,1.88
"Little Sugarbush",1998-07-07,7,1,,,,,,6.690,,,,,,65,,4743,8.95,0.74,2.56,1.28,1.53,,
"Little Trout",1998-06-28,1,1,5.19,6.74,5.22,6.47,,7.270,0.038,0.754,1.072,55,4.35,27,213,319,5.86,2.63,1.61,0.90,0.00,2.09,3.45
"Little Trout",1998-08-06,1,1,,,,,351.06,7.860,0.032,0.684,1.032,55,3.90,9,204,489,5.87,2.59,1.67,0.88,0.08,,
"Little Trout",1998-08-31,"NEAR BOTTOM",1,,,,,,6.570,,,,,,24,393,1850,6.19,2.57,1.59,0.89,2.85,,
"Little Trout",1999-06-11,1,1,,,,,,7.827,,,,,3.30,17,509,373,,,,,,,
"Little Trout",1999-06-11,1,2,,,,,,7.849,,,,,,,,,,,,,,,
"Little Trout",1999-06-11,"NEAR BOTTOM",1,,,,,,6.802,,,,,,9,105,902,,,,,,,
"Little Trout",1999-06-11,"NEAR BOTTOM",2,,,,,,6.786,,,,,,,,,,,,,,,
"Little Trout",1999-07-16,"NEAR BOTTOM",1,,,,,,6.600,,,,,,9,494,1506,6.53,2.74,1.72,1.06,,,
"Little Trout",1999-08-25,1,1,,,,,,7.872,,,,56,4.05,6,932,523,,,,,,,
"Little Trout",1999-08-25,19,1,,,,,,6.509,,,,43,,10,642,1572,,,,,,,
"Lower Kaubeshine",1998-06-04,7,1,,,,,970.24,6.830,,,,,,22,592,4908,13.68,0.81,3.77,2.12,4.59,,
"Lower Kaubeshine",1998-07-21,1,1,,,,,,8.190,,,,109,4.70,20,229,2758,12.03,0.64,3.74,2.61,0.04,,
"Lower Kaubeshine",1998-07-21,5,1,,,,,,7.330,,,,,,20,327,3806,13.02,0.74,3.82,2.55,0.45,,
"Lower Kaubeshine",1998-08-27,1,1,,,,,,8.240,,,,110,2.30,5,184,3364,12.27,0.71,3.73,2.70,0.11,,
"Lynx",1999-06-08,1,1,,,,,,5.635,0.061,0.901,1.272,20,4.30,10,770,77,,,,,,,
"Lynx",1999-06-08,"NEAR BOTTOM",1,,,,,,6.006,,,,,,23,864,426,,,,,,,
"Lynx",1999-07-10,"NEAR BOTTOM",1,,,,,,5.980,,,,,,19,670,510,2.11,0.53,0.70,0.33,,,
"Lynx",1999-08-23,1,1,1.48,,1.57,6.50,,6.920,,,,22,4.50,7,414,50,,,,,,1.49,1.97
"Lynx",2000-07-05,1,1,1.23,6.21,1.40,6.13,,,,,,,,7,394,,,,,,,,
"McCullough",1998-08-05,1,1,,,,,,8.720,,,,75,2.00,16,532,1489,10.05,0.68,2.77,1.07,0.09,,
"McCullough",1998-08-05,4,1,,,,,,7.130,,,,,,15,451,1931,10.24,0.71,2.78,1.06,0.28,,
"McCullough",1998-08-31,1,1,,,,,,7.790,,,,75,2.40,17,436,1625,10.34,0.69,2.83,1.10,0.19,,
"Mid",1998-09-06,1,1,,,,,,,,,,,,19,522,2636,,,,,,,
"Mid",1999-06-09,1,1,,,,,,8.700,0.064,0.697,0.949,,3.60,32,704,852,,,,,,,
"Mid",1999-07-07,1,1,,,,,772.05,9.190,,,,104,2.60,34,518,1101,10.12,0.34,4.14,3.41,,,
"Mid",1999-08-22,1,1,9.51,,9.76,5.54,,9.346,,,,98,1.95,35,825,1638,,,,,,6.50,1.16
"Mid",1999-08-22,3,1,,,,,,7.572,,,,94,,42,837,1868,,,,,,,
"Minocqua",1999-06-09,1,1,,,,,,8.267,0.044,0.456,0.635,,3.50,14,366,3017,,,,,,,
