lakeid,lakename,year4,daynum,sampledate,rep,station,depth,wtemp,o2,cond,alk,chlor,phaeo,ph,doc,dic,totnuf,totpuf,suva,flag_wtemp,flag_o2,flag_o2sat,flag_cond,flag_alk,flag_chlor,flag_phaeo,flag_ph,flag_doc,flag_dic,flag_totnuf,flag_totpuf,flag_suva
"BG","Big Lake",2001,172,2001-06-21,1,11,6.00,14.50,5.65,,,,,,,,,,,,,,,,,,,,,,,
"BG","Big Lake",2001,172,2001-06-21,1,11,7.00,13.60,4.09,,,,,,,,,,,,,,,,,,,,,,,
"BG","Big Lake",2001,172,2001-06-21,1,11,8.00,12.90,3.62,,,,,,,,,,,,,,,,,,,,,,,
"BG","Big Lake",2001,172,2001-06-21,1,11,11.00,8.00,0.77,,,,,,,,,,,,,,,,,,,,,,,
"BG","Big Lake",2001,172,2001-06-21,1,11,13.00,6.30,0.18,,,,,,,,,,,,,,,,,,,,,,,
"BG","Big Lake",2001,172,2001-06-21,1,11,15.00,5.90,0.17,,,,,,,,,,,,,,,,,,,,,,,
"BG","Big Lake",2001,172,2001-06-21,1,11,17.00,5.60,0.14,,,,,,,,,,,,,,,,,,,,,,,
"BG","Big Lake",2001,172,2001-06-21,1,11,18.00,5.60,0.14,,,,,,,,,,,,,,,,,,,,,,,
"BG","Big Lake",2001,240,2001-08-28,1,11,1.00,22.06,8.22,,,,,,,,,,,,,,,,,,,,,,,
"BG","Big Lake",2001,240,2001-08-28,1,11,3.00,21.92,8.22,,,,,,,,,,,,,,,,,,,,,,,
"BG","Big Lake",2001,240,2001-08-28,1,11,4.00,21.85,8.19,,,,,,,,,,,,,,,,,,,,,,,
"BG","Big Lake",2001,240,2001-08-28,1,11,6.00,20.05,4.43,,,,,,,,,,,,,,,,,,,,,,,
"BG","Big Lake",2001,240,2001-08-28,1,11,8.00,14.45,0.24,,,,,,,,,,,,,,,,,,,,,,,
"BG","Big Lake",2001,240,2001-08-28,1,11,12.00,7.30,0.13,,,,,,,,,,,,,,,,,,,,,,,
"BG","Big Lake",2001,240,2001-08-28,1,11,14.00,6.26,0.13,,,,,,,,,,,,,,,,,,,,,,,
"BG","Big Lake",2001,240,2001-08-28,1,11,16.00,5.97,0.12,,,,,,,,,,,,,,,,,,,,,,,
"BG","Big Lake",2001,240,2001-08-28,2,11,0.00,22.13,8.17,130.91,1265.00,,,,,,326,12,,,,,,,"U","U",,,,,,
"BG","Big Lake",2001,240,2001-08-28,2,11,2.00,22.04,8.14,,,,,,,,,,,,,,,,,,,,,,,
"BG","Big Lake",2001,240,2001-08-28,2,11,3.00,21.91,8.10,,,,,,,,,,,,,,,,,,,,,,,
"BG","Big Lake",2001,240,2001-08-28,2,11,4.00,21.82,7.99,,,,,,,,,,,,,,,,,,,,,,,
"BG","Big Lake",2001,240,2001-08-28,2,11,5.00,21.19,6.64,,,,,,,,,,,,,,,,,,,,,,,
"BG","Big Lake",2001,240,2001-08-28,2,11,6.00,20.18,4.54,,,,,,,,,,,,,,,,,,,,,,,
"BG","Big Lake",2001,240,2001-08-28,2,11,7.00,17.42,0.12,,,,,,,,,,,,,,,,,,,,,,,
"BG","Big Lake",2001,240,2001-08-28,2,11,8.00,14.10,0.09,,,,,,,,,,,,,,,,,,,,,,,
"BG","Big Lake",2001,240,2001-08-28,2,11,9.00,12.45,0.09,,,,,,,,,,,,,,,,,,,,,,,
"BG","Big Lake",2001,240,2001-08-28,2,11,10.00,9.74,0.09,,,,,,,,,,,,,,,,,,,,,,,
"BG","Big Lake",2001,240,2001-08-28,2,11,12.00,7.28,0.10,,,,,,,,,,,,,,,,,,,,,,,
"BG","Big Lake",2001,240,2001-08-28,2,11,13.00,6.54,0.10,,,,,,,,,,,,,,,,,,,,,,,
"BG","Big Lake",2001,240,2001-08-28,2,11,15.00,6.01,0.11,,,,,,,,,,,,,,,,,,,,,,,
"BG","Big Lake",2001,249,2001-09-06,1,11,0.00,,,,,,,8.24,,,,,,,,,,,,,,,,,,
"BG","Big Lake",2001,249,2001-09-06,2,11,0.00,,,,,,,8.25,,,,,,,,,,,,,,,,,,
"BP","Big Portage Lake",2001,186,2001-07-05,1,11,4.00,20.99,8.37,,,,,,,,,,,,,,,,,,,,,,,
"BP","Big Portage Lake",2001,186,2001-07-05,1,11,6.00,20.88,8.33,,,,,,,,,,,,,,,,,,,,,,,
